x	1.05w0	1.1w0	1.5w0
0.62891	1.4415	2.101	1.7276
0.63281	1.2535	1.8178	1.8239
0.63672	0.96188	1.2623	1.6815
0.64063	0.71156	0.52677	1.346
0.64453	0.73318	0.29343	0.94227
0.64844	0.98668	1.033	0.75226
0.65234	1.2392	1.6074	0.98024
0.65625	1.3715	1.9261	1.3245
0.66016	1.3432	1.9445	1.5537
0.66406	1.1625	1.6649	1.5892
0.66797	0.88726	1.1353	1.425
0.67188	0.65813	0.44352	1.1126
0.67578	0.69262	0.32238	0.78529
0.67969	0.93765	1.0083	0.71199
0.68359	1.1747	1.5342	0.96157
0.6875	1.2955	1.8177	1.2532
0.69141	1.2638	1.8186	1.4236
0.69531	1.0888	1.541	1.4182
0.69922	0.82676	1.0316	1.241
0.70313	0.61554	0.37487	0.94945
0.70703	0.66106	0.34767	0.68608
0.71094	0.89887	0.98981	0.69399
0.71484	1.1229	1.4759	0.94535
0.71875	1.2339	1.73	1.1953
0.72266	1.199	1.7159	1.3221
0.72656	1.0283	1.439	1.2871
0.73047	0.77712	0.94542	1.1019
0.73438	0.5813	0.31708	0.82982
0.73828	0.63646	0.37052	0.62243
0.74219	0.86816	0.97656	0.68739
0.74609	1.0811	1.4295	0.93209
0.75	1.1836	1.6588	1.1481
0.75391	1.1458	1.6314	1.2409
0.75781	0.97828	1.3542	1.1832
0.76172	0.73606	0.87275	0.99295
0.76563	0.55364	0.26757	0.73948
0.76953	0.61742	0.39183	0.58224
0.77344	0.84399	0.96785	0.68745
0.77734	1.0475	1.3929	0.92197
0.78125	1.1427	1.6008	1.1094
0.78516	1.102	1.5614	1.1746
0.78906	0.93678	1.2829	1.0988
0.79297	0.70191	0.81069	0.90534
0.79688	0.53134	0.2245	0.67007
0.80078	0.60297	0.41227	0.55831
0.80469	0.82529	0.96324	0.69198
0.80859	1.0208	1.3646	0.91504
0.8125	1.1095	1.5539	1.0781
0.81641	1.066	1.5034	1.12
0.82031	0.9023	1.2227	1.029
0.82422	0.67348	0.75709	0.83353
0.82813	0.51348	0.18656	0.61644
0.83203	0.5924	0.43241	0.54617
0.83594	0.81129	0.96242	0.69995
0.83984	0.99997	1.3435	0.91129
0.84375	1.0829	1.5163	1.0529
0.84766	1.0366	1.4554	1.0746
0.85156	0.87377	1.1716	0.97047
0.85547	0.64986	0.71033	0.77384
0.85938	0.49941	0.15287	0.57526
0.86328	0.58524	0.4527	0.54292
0.86719	0.80146	0.96522	0.71091
0.87109	0.9843	1.3289	0.91073
0.875	1.0621	1.487	1.0332
0.87891	1.0129	1.4161	1.0368
0.88281	0.85037	1.1282	0.92091
0.88672	0.63038	0.66917	0.72376
0.89063	0.48864	0.123	0.54432
0.89453	0.58115	0.47355	0.54673
0.89844	0.7954	0.97156	0.7247
0.90234	0.9733	1.3201	0.91338
0.90625	1.0465	1.465	1.0184
0.91016	0.9944	1.3843	1.0055
0.91406	0.83148	1.0913	0.87861
0.91797	0.61452	0.63262	0.6815
0.92188	0.48084	0.097096	0.52218
0.92578	0.57989	0.49535	0.55643
0.92969	0.79288	0.98148	0.74138
0.93359	0.96663	1.317	0.91931
0.9375	1.0356	1.4496	1.0081
0.94141	0.98052	1.3592	0.97956
0.94531	0.81665	1.0602	0.84233
0.94922	0.60192	0.59987	0.64584
0.95313	0.47577	0.076424	0.50789
0.95703	0.58135	0.51848	0.57134
0.96094	0.79375	0.99506	0.76112
0.96484	0.96407	1.3193	0.92865
0.96875	1.0292	1.4406	1.002
0.97266	0.97096	1.3402	0.95844
0.97656	0.80555	1.0341	0.81111
0.98047	0.59229	0.57029	0.61591
0.98438	0.47327	0.064095	0.50087
0.98828	0.58547	0.54332	0.59117
0.99219	0.79796	1.0125	0.78422
0.99609	0.96551	1.327	0.9416
